id	concatena	primo_cognome	secondo_cognome	terzo_cognome	primo_nome	secondo_nome	terzo_nome	sesso	luogo_di_nascita	data_di_nascita	luogo_di_morte	data_di_morte	facolta	corso	insegnamenti	inizio_carriera_accademica	fine_carriera_accademica	biografia	ambiti_di_ricerca	carriera_extra_acc	riferimenti_bibliografici	riferimenti_archivistici	docente	rettore	inizio_mandato	fine_mandato	docente_illustre	laureato_ad_honorem	prima_donna_docente	autore	revisore
188	SotgiaSergio	Sotgia			Sergio			M					Giurisprudenza		Diritto commerciale; Diritto marittimo						Annuario 1929-30		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
189	GroppaliAlessandro	Groppali			Alessandro			M		1874-05-05		1959-10-03	Giurisprudenza		Filosofia e teoria generale del diritto; Istituzioni di diritto pubblico; Diritto amministrativo e Scienza dell'amministrazione; Dottrina dello Stato; Diritto pubblico comparato; Sociologia			 preside della facoltà di Giurisprudenza dal 1° novembre 1932 al 28 ottobre 1935.		commendatore; socio del Reale Istituto Lombardo, dell'institut International de sociologie, dell'American Academy of social science, dells sociological Society, del Institut Iaponais de sociologie, professore dell'Universitè Nouvelle di Bruxelles;	"Annuario 1930-31; GROPPALI, Alessandro
di Franco Tamassia, in Dizionario Biografico degli Italiani - Volume 59 (2002)
"		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
190	VanoniEzio	Vanoni			Ezio			M					Giurisprudenza		Scienza delle finanze e Diritto finanziario; Statistica; Economia politica						Annuario 1930-31		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
191	AgoRoberto	Ago			Roberto			M					Giurisprudenza		Diritto internazionale pubblico e privato; Diritto ecclesiastico			libero docente di Diritto internazionale (Decreto Regio di abilitazione 31 dicembre 1932)			Annuario 1930-31		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
192	BiondiPompeo	Biondi			Pompeo			M					Giurisprudenza		Procedura civile						Annuario 1931-32		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
193	StolfiGiuseppe	Stolfi			Giuseppe			M					Giurisprudenza		Istituzioni di diritto privato; Diritto civile						Annuario 1931-32		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
194	ForchielliGiuseppe	Forchielli			Giuseppe			M					Giurisprudenza		Diritto ecclesiastico; Diritto amministrativo e Scienza dell'amministrazione						Annuario 1931-32		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
195	BachiRoberto	Bachi			Roberto			M					Giurisprudenza		Statistica						Annuario 1931-32		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
196	MieleGiovanni	Miele			Giovanni			M					Giurisprudenza		Istituzioni di Diritto pubblico; Statistica						Annuario 1932-33		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
197	EndrichEnrico	Endrich			Enrico			M					Giurisprudenza		Diritto corporativo						Annuario 1932-33		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
198	MorCarloGuido	Mor			Carlo	Guido		M					Giurisprudenza		Storia del Diritto italiano; Storia del Diritto romano						Annuario 1932-33		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
199	IannacconeCostantino	Iannaccone			Costantino			M					Giurisprudenza; Magistero 		Diritto ecclesiastico			Diritto ecclesiastico; Diritto civile (dal 12 febbraio 1934); Diritto coloniale (incaricato); Istituzioni di diritto processuale (incaricato); Storia e politica coloniale (incaricato); Diritto canonico (incaricato) preside della facoltà di Giurisprudenza dal 29 ottobre 1935 al 31 dicembre 1938.		socio dell'Associazione per il Progresso delle Scienze; 	Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
200	TosatoEgidio	Tosato			Egidio			M					Giurisprudenza		Diritto amministrativo						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
201	LanzilloAgostino	Lanzillo			Agostino			M					Giurisprudenza		Economia politica						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
202	SantoroArturo	Santoro			Arturo			M					Giurisprudenza		Diritto e Procedura penale; Diritto corporativo						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
203	ButeraAntonio	Butera			Antonio			M					Giurisprudenza		Diritto corporativo						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
204	CalviSotgia AnnaMaria	Calvi	Sotgia 		Anna	Maria		F	Torriano	1909-06-20			Giurisprudenza		Scienza delle finanze e Diritto finanziario			Allieva di Benvenuto Griziotti, Anna Maria Calvi (1909 - 1975), fece un periodo di studi ad Heidelberg (1932-33??). Negli anni 1932-1933 e 1933-1934  la troviamo a Pavia come Assistente volontario nella facoltà di Giurisprudenza.	"Pubblicò studi riguardanti l'economia tedesca e il diritto tributario:
I buoni tedeschi per il pagamento delle imposte: Steuergutscheine: natura dell'operazione finanziaria del Piano von Papen, Società editrice torinese, 1935. 
L'alimentazione nelle collettivita infantili... : pubblicazione ad uso interno dei corsi AAI, 1966.  "		Annuario 1933-34, 1934-35; I Docenti dell'Univesità di Pavia, voce Calvi, Anna Maria. DA CONSULTARE Calvi Anna Maria in Sotgia (1909 - 1975), Rachele Farina (a cura di), in Dizionario biografico delle donne lombarde (568-1968), Baldini & Castoldi, Milano, 1995, pp. 248-249--> in BIBLIO UNIVERSITARIA 		sì	no			no	no	sì	Laura Cogoni; Eleonora Todde	Eleonora Todde
205	FrezzaPaolo	Frezza			Paolo			M					Giurisprudenza		Diritto romano; Istituzioni di Diritto romano						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
206	LoVerdeGiuseppe	LoVerde			Giuseppe			M					Giurisprudenza		Diritto internazionale						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
207	RestaManlio	Resta			Manlio			M					Giurisprudenza		Statistica; Economia generale e corporativa; Storia delle dottrine economiche; Diritto finanziario e Scienza delle finanze; Politica economica e finanziaria						Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
208	TedeschiGuido	Tedeschi			Guido			M					Giurisprudenza		Diritto civile			Diritto civile (incaricato fino al 7 febbraio 1934)			Annuario 1933-34		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
209	BaldoniClaudio	Baldoni			Claudio			M	Montalto				Giurisprudenza		Diritto internazionale						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
210	CarliFilippo	Carli			Filippo			M					Giurisprudenza		Storia delle Istituzioni economiche						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
211	DeMatteiRodolfo	DeMattei			Rodolfo			M					Giurisprudenza		Storia delle Istituzioni politiche						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
212	GorlaLuigi	Gorla			Luigi			M					Giurisprudenza		Diritto civile						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
213	LauriaMario	Lauria			Mario			M					Giurisprudenza		Storia del Diritto romano						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
214	AruLuigi	Aru			Luigi			M					Giurisprudenza		Istituzioni di Diritto romano; Diritto romano						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
215	BenedicentiLuigi	Benedicenti			Luigi			M					Giurisprudenza		Diritto amministrativo						Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
216	CaoGiovanni	Cao			Giovanni			M					Giurisprudenza		Politica economica e finanziaria			rettore dal 29 ottobre 1935 al 28 ott 1936			Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
217	ToscanoMario	Toscano			Mario			M					Giurisprudenza		Diplomazia e storia dei trattati; Storia dei trattati e politica internazionale; Diritto internazionale; Diritto coloniale; Storia e politica coloniale			Storia dei trattati e politica internazionale			Annuario 1934-35		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
218	BregliaAlberto	Breglia			Alberto			M					Giurisprudenza		Economia politica corporativa; Storia delle dottrine economiche						Annuario 1935-36		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
219	GuicciardiEnrico	Guicciardi			Enrico			M					Giurisprudenza		Diritto amministrativo; Diritto finanziario e Scienza delle finanze; Storia e dottrina del Fascismo						Annuario 1935-36		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
220	DudanBruno	Dudan			Bruno			M					Giurisprudenza		Storia del Diritto romano 			Storia del diritto romano (incaricato); Storia del diritto italiano (incaricato); Storia dei trattati e politica internazionale (incaricato); libero docente di Storia del diritto italiano (Decreto Regio di abilitazione 5 febbraio 1936)		Conte	Annuario 1935-36		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
221	GrassettiCesare	Grassetti			Cesare			M					Giurisprudenza		Diritto civile						Annuario 1935-36		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
222	BettiolGiuseppe	Bettiol			Giuseppe			M					Giurisprudenza		Diritto e Procedura penale; Diritto internazionale; Storia dei trattati e politica internazionale						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
223	CovielloLeonardo	Coviello			Leonardo			M					Giurisprudenza		Diritto civile						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
224	GianniniAchilleDonato	Giannini			Achille	Donato		M					Giurisprudenza		Diritto amministrativo						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
225	OrigoneAgostino	Origone			Agostino			M					Giurisprudenza		Diritto costituzionale; Storia e dottrina del Fascismo			preside della facoltà di Giurisprudenza dal 1 marzo 1939 al 30 novembre 1941. 			Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
226	ViterboCamillo	Viterbo			Camillo			M	Trieste	1900-03-19	Argentina		Giurisprudenza		Diritto commerciale; Diritto industriale	1937	1938	Nacque a Trieste il 19 marzo 1900; dopo gli studi liceali partecipò come volontario alla Prima guerra mondiale. Si laureò in giurisprudenza presso l’Università di Padova nel 1922, iniziando ad approfondire gli studi di diritto penale ma soprattutto di diritto commerciale, indirizzando i suoi lavori su temi come le problematiche del contratto di assicurazione. Dal 1931 divenne assistente alla cattedra di diritto commerciale presso la Regia Università di Milano, mentre nel 1933 ottenne la libera docenza. Nel 1937 ottenne la cattedra di Diritto commerciale presso la facoltà di Giurisprudenza dell'Università di Cagliari, presto affiancato dall’incarico di Storia e politica coloniale e successivamente da quello di Diritto industriale. Colpito dai provvedimenti razziali del 1938, lasciò la Sardegna in direzione Sud America, prima in Brasile e poi in Argentina dove ebbe l’incarico presso la Facoltà di Scienze Economiche dell’Università di Cordoba insieme ad altre colleghi italiani esiliati anch’essi dopo la promulgazione dei provvedimenti anti-ebraici. Tenne lezioni e seminari in altre importanti università nord e sud americane. Tornato in Italia nel 1946 per assumere l’incarico di Diritto Commerciale presso l’Università di Modena, gravemente ammalato scelse di ripartire in Argentina dove morì pochi mesi dopo.			Annuario 1936-37		sì	no			sì	no	no	Laura Cogoni; Gianluca Scroccu; Eleonora Todde	Eleonora Todde
227	BragantiniLuigi	Bragantini			Luigi			M					Giurisprudenza		Diritto industriale						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
228	CioffiAlfredo	Cioffi			Alfredo			M					Giurisprudenza		Legislazione del lavoro						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
229	CollottiFrancesco	Collotti			Francesco			M					Giurisprudenza		Storia delle dottrine politiche						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
230	RobbeUbaldo	Robbe			Ubaldo			M					Giurisprudenza		Diritto romano; Istituzioni di Diritto romano						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
231	SailisEnrico	Sailis			Enrico			M					Giurisprudenza; Magistero 		Diritto pubblico comparato; Diritto costituzionale italiano e comparato; Istituzioni di diritto pubblico; Storia dei trattati e politica internazionale; Diritto pubblico italiano e comparato; Legislazione del lavoro 			preside della facoltà di Magistero dal 24 novembre 1943 al 31 ottobre 1946.			Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
232	MaiorcaCarlo	Maiorca			Carlo			M					Giurisprudenza		Istituzioni di Diritto privato						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
233	MarongiuUnaliAntonio	Marongiu	Unali		Antonio			M	Siniscola	1902-12-29			Giurisprudenza		Storia del Diritto italiano; Storia del Diritto romano; Storia e politica coloniale						Annuario 1936-37		sì	no			sì	no	no	Laura Cogoni; Gianluca Scroccu; Eleonora Todde	Eleonora Todde
234	OrestanoRiccardo	Orestano			Riccardo			M					Giurisprudenza		Istituzioni di Diritto romano						Annuario 1936-37		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
235	BarbieriGino	Barbieri			Gino			M					Giurisprudenza		Storia delle dottrine economiche; Statistica						Annuario 1937-38		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
236	CapodaglioGiulio	Capodaglio			Giulio			M					Giurisprudenza		Politica economica e finanziaria; Economia politica corporativa						Annuario 1937-38		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
237	PassamontiEugenio	Passamonti			Eugenio			M					Giurisprudenza; Magistero; Lettere e Filosofia		Storia moderna						Annuario 1937-38		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
238	RanieriSilvio	Ranieri			Silvio			M					Giurisprudenza		Diritto penale; Procedura penale; Filosofia del diritto						Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
239	BalbiGiovanni	Balbi			Giovanni			M					Giurisprudenza		Diritto industriale; Diritto civile; Dottrina dello stato						Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
240	BonettiCarlo	Bonetti			Carlo			M					Giurisprudenza		Cultura militare					Colonello	Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
241	CoscianiCesare	Cosciani			Cesare			M					Giurisprudenza		Diritto finanziario e scienza delle finanze; Politica economica e finanziaria						Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
242	D'AngeloAntonino	D'Angelo			Antonino			M		1914-02-08			Giurisprudenza		Diritto agrario; Diritto internazionale; Istituzioni di diritto privato			Nato a Roma l’8 febbraio del 1914, si iscrisse alla Facoltà di Giurisprudenza dell’Università di Roma dove divenne allievo di Renato De Ruggiero e Filippo Vassalli, con cui si laureò in Diritto romano e da cui fu avviato alla successiva formazione nella medesima disciplina presso la Scuola di Specializzazione della Facoltà di Giurisprudenza della capitale. Dopo la pubblicazione, nel 1938, del saggio Il concetto giuridico di status nella Rivista italiana di scienze giuridiche, ebbe l’incarico di Diritto privato presso l’Ateneo di Cagliari. In seguito alla pubblicazione di altri importanti lavori monografici come La filiazione legittima (1943), e La donazione rimuneratoria (1942) ottenne prima la libera docenza poi la cattedra da ordinario nel 1945, venendo chiamato prima presso l’Ateneo di Sassari poi in quello di Cagliari dove, nel 1946, fu nominato preside della Facoltà di Giurisprudenza. Eletto rettore dell’Università di Cagliari nel 1947, ricoprì l’incarico per tre mandati nel delicato periodo della ricostruzione e fu impegnato in prima persona nei lavori della Consulta regionale per quanto riguarda i rapporti tra il mondo universitario isolano e il nuovo statuto. Dal 1954 si trasferì presso l’Ateneo di Genova dove insegnò le principali materie civilistiche sino al decesso avvenuto nel novembre del 1964.	 La filiazione legittima (1943); La donazione rimuneratoria (1942)	nel 1949 fu eletto consigliere regionale del Partito Nazionale Monarchico nel collegio di Cagliari per la I legislatura.	Annuario 1938-39		sì	no			no	no	no	Laura Cogoni; Gianluca Scroccu; Eleonora Todde	Eleonora Todde
243	DeGennaroLuigi	DeGennaro			Luigi			M					Giurisprudenza		Diritto commerciale			Diritto commerciale (incaricato) libero docente (Decreto Regio di abilitazione 8 aprile 1936); Legislazione del lavoro (incaricato)			Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
244	FiorettiMario	Fioretti			Mario			M					Giurisprudenza		Istituzioni di Diritto privato; Diritto ecclesiastico						Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
245	SestiniAldo	Sestini			Aldo			M					Giurisprudenza; Scienze fisiche, matematiche e naturali; Magistero		Geografia politica ed economica; Geografia						Annuario 1938-39		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
246	ArcariPaolaMaria	Arcari			Paola	Maria		F	Friburgo	1907-06-27		1967-08-04	Giurisprudenza; Lettere e Filosofia		Storia delle dottrine politicheo; Dottrina dello Stato; Storia delle dottrine economiche; Statistica; Economia politica corporativa; Filosofia del diritto; Politica economica e finanziaria; Storia del Risorgimento			Fu preside della facoltà di Giurisprudenza dal 1° novembre 1947 al 4 agosto 1967, ossia fino alla sua morte.			Annuario 1939-40		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
247	AulettaGiuseppe	Auletta			Giuseppe			M					Giurisprudenza		Diritto commerciale			Diritto commerciale (straordinario); Diritto industriale (incaricato); Filosofia del diritto (incaricato)			Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
248	MenegazziGuido	Menegazzi			Guido			M					Giurisprudenza		Scienza delle finanze e Diritto finanziario			Scienza delle finanze e diritto finanziario (straordinario); Economia politica corporatica (incaricato); Politica economica e finanziaria (incaricato); 			Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
249	MaschiCarloAlberto	Maschi			Carlo	Alberto		M					Giurisprudenza		Diritto Romano e Istituzioni di diritto romano			preside della facoltà di Giurisprudenza dal 16 gennaio 1942 al 30 novembre 1942. Diritto Romano e Istituzioni di diritto romano; Storia del diritto romano (incaricato)			Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
250	ManunzaPaolo	Manunza			Paolo			M					Giurisprudenza; Medicina e Chirurgia		Medicina legale e delle assicurazioni			Medicina legale e delle assicurazioni (incaricato), libera docenza (Decreto Regio di abilitazione 21 marzo 1938); 			Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
251	MonacoRiccardo	Monaco			Riccardo			M					Giurisprudenza		Diritto amministrativo; Diritto internazionale						Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
252	ScarlataMariano	Scarlata			Mariano			M					Giurisprudenza		Storia del diritto romano						Annuario 1939-40		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
253	BussiEmilio	Bussi			Emilio			M					Giurisprudenza		Storia del Diritto italiano			preside della facoltà di Giurisprudenza dal 10 febbraio 1943 al 23 novembre 1943.Storia del diritto italiano (ordinario); Diritto canonico; Diritto corporativo; Diritto ecclesiastico; Storia del diritto romano; Storia e politica coloniale (incaricato); Diritto del lavoro (incaricato); 			Annuario 1940-41		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
254	AlimenaFrancesco	Alimena			Francesco			M					Giurisprudenza		Diritto penale; Procedura penale			Diritto penale (straordinario); incaricato di Procedura penale, Diritto amministrativo, Diritto costituzionale italiano e comparato; Diritto corporatico. Storia e dottrina del Fascismo; 			Annuario 1941-42		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
255	SalisLino	Salis			Lino			M					Giurisprudenza		Diritto civile			preside della facoltà di Giurisprudenza dal 24 novembre 1943 al 31 ottobre 1945.Diritto civile (straordinario); Diritto commerciale (incaricato); Storia e dottrina del fascismo (incaricato); Storia e dottrina dello Stato (incaricato); Legislazione del lavoro (incaricato); Geografia politica ed economica (incaricato); Sociologia (incaricato); Storia e politica coloniale (incaricato); Diritto del lavoro (incaricato); Diritto commerciale (incaricato); Diritto industriale (incaricato); 			Annuario 1941-42		sì	no			sì	no	no	Laura Cogoni; Eva Garau; Eleonora Todde	Eleonora Todde
256	GasparriPietro	Gasparri			Pietro			M					Giurisprudenza		Diritto amministrativo			Diritto amministrativo (straordinario); Diritto finanziario (incaricato); 			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
257	LavagnaCarlo	Lavagna			Carlo			M					Giurisprudenza		Istituzioni di Diritto pubblico			Istituzioni di diritto pubblico (straordinario); Diritto costituzionale (ordinario); Dottrina dello stato (incaricato); Procedura penale (incaricato); 			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
258	LanfranchiFabio	Lanfranchi			Fabio			M					Giurisprudenza		Storia del Diritto romano			Storia del Diritto romano (straordinario); Diritto romano (incaricato); Istituzioni di Diritto romano (incaricato); 			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
259	DeVillaVittorio	DeVilla			Vittorio			M					Giurisprudenza		Istituzioni di Diritto romano			Istituzioni di diritto romano, Diritto romano (incaricato); Storia del Diritto romano (supplente);  			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
260	ForresuCiro	Forresu			Ciro			M					Giurisprudenza; Lettere e Filosofia		Dottrina dello Stato			Dottrina dello Stato (incaricato); Filosofia del diritto (incaricato); Storia delle dottrine politiche (supplente); libera docenza di Filosofia del diritto (Decreto Regio di abilitazione 29 luglio 1942). Filosofia Teoretica (Lettere e Filosofia, incaricato); Storia della Filosofia (Lettere e Filosofia, supplente).			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
261	SforzaEnrico	Sforza			Enrico			M					Giurisprudenza		Storia dei trattati e politica internazionale			Storia dei trattati e politica internazionale (incaricato)			Annuario 1942-43		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
262	CostaSergio	Costa			Sergio			M					Giurisprudenza		Diritto amministrativo			Diritto amministrativo (supplente); Diritto proc. Civ (incaricato); Diritto proc. Pen (incaricato); 			Annuario 1943-44		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
263	EraAntonio	Era			Antonio			M					Giurisprudenza		Diritto finanziario			Diritto finanziario (incaricato); Storia del diritto italiano (supplente); Economia politica (incaricato)			Annuario 1943-44		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
264	DeLucaLuigi	DeLuca			Luigi			M					Giurisprudenza		Diritto ecclesiastico						Annuario 1946-47		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
265	LavaggiGiuseppe	Lavaggi			Giuseppe			M					Giurisprudenza		Istituzioni di Diritto romano; Diritto romano						Annuario 1946-47		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
266	PauGiovanni	Pau			Giovanni			M					Giurisprudenza		Diritto internazionale						Annuario 1946-47		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
267	DegioanniPietroFrancesco	Degioanni			Pietro	Francesco		M	Saorge				Medicina		Anatomia, Materia medica	1764	1793	"Nacque a Saorgio, oggi Saorge comune francese (Dipartimento delle Alpi Marittime). Il 2 agosto 1756 discusse le seguenti tesi per il conseguimento della laurea in Medicina nella Regia  Università di Torino: TESINE. Si aggregò al Collegio medico di Torino il 31 luglio 1758, con la discussione dei seguenti temi: De Globo terraqueo (Fisica), De cerebri anatome (Anatomia), De formazione, nutritione, incremento et circuitione sanguinis in fatu (Istituzioni mediche), De polypariis (Storia naturale degli animali), De hydrope (Storia e teoria delle malattie), Prognosis et curatio hydropis (Pratica medica). Fu aggregato al Collegio della facoltà di Medicina della Regia Università di Cagliari e nominato docente di Materia medica e alternativamente di Anatomia il 4 agosto 1764, percependo 150 scudi sardi e 50 di trattenimento;  il 30 luglio 1793 fu sostituito dal professore Marco Sini. Come docente di Materia medica tenne le lezioni in volgare per essere compreso dai giovani speziali; per vari anni lamentò la scarsità di piante per le ""ostensioni"" e fece domanda per ottenere a tale scopo una parte del giardino del convento dei Padri Osservanti di San Mauro, nel borgo di Villanova. A risposta negativa raccolse le piante dal suo erbario personale e dalla campagna, continuando sempre a ribadire che il lavoro sarebbe stato più proficuo se fosse stato disponibile un orto botanico. Nell'anno accademico 1776-77 per l'insegnamento di Materia medica chiese un esame pratico; il corso di Anatomia sovente ebbe carenza di studenti e spesso non si tenne. Morì nel 1794"		Fu protomedico generale del Regno di Sardegna, con nomina il 27 luglio 1790.	Mariangela Rapetti; Il collegio di medicina nell'Archivio Storico dell'Università di Cagliari Sezione prima (1764-1848), Grafica del Parteolla, Cagliari 2017;  Biografia medica piemontese vol. 2. N°2.	ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 17r-18r; 144r-145r; ivi, s. 3.2, b. 128, n.1.3; ivi, s. 1.9, b. 18, n. 1, cc. 17, 30, 31, 55, 65, 192. ASUT, Facoltà di Medicina, Verbali degli esami pubblici, 1750-57; ivi,Verbali degli esami pubblici, 1758-71.	sì	no			sì	no	no	Laura Cogoni; Antonio Dettori; Eleonora Todde	Eleonora Todde
